chapter,code,description
01,0101210000-00-00,Pure-bred breeding animals
01,010129**00-**-00,For slaughter
01,0101291000-10-00,For slaughter
01,0101299000-90-00,Other
01,0101300000-00-00,Asses
01,0101900000-00-00,Other
01,010221**00-**-00,Heifers (female bovines that have never calved)
01,0102211000-10-00,Heifers (female bovines that have never calved)
01,0102213000-30-00,Cows
01,0102219000-90-00,Other
01,010229**00-**-00,Of the sub-genus Bibos or of the sub-genus Poephagus
01,0102290500-05-00,Of the sub-genus Bibos or of the sub-genus Poephagus
01,0102291000-10-00,Of a weight not exceeding 80 kg
01,0102292*00-2*-00,For slaughter
01,0102292100-21-00,For slaughter
01,0102292900-29-00,Other
01,0102294*00-4*-00,For slaughter
01,0102294100-41-00,For slaughter
01,0102294900-49-00,Other
01,0102295*00-5*-00,For slaughter
01,0102295100-51-00,For slaughter
01,0102295900-59-00,Other
01,0102296*00-6*-00,For slaughter
01,0102296100-61-00,For slaughter
01,0102296900-69-00,Other
01,0102299*00-9*-00,For slaughter
01,0102299100-91-00,For slaughter
01,0102299900-99-00,Other
01,0102310000-00-00,Pure-bred breeding animals
01,010239**00-**-00,Domestic species
01,0102391000-10-00,Domestic species
01,0102399000-90-00,Other
01,010290**00-**-00,Pure-bred breeding animals
01,0102902000-20-00,Pure-bred breeding animals
01,0102909*00-9*-00,Domestic species
01,0102909100-91-00,Domestic species
01,0102909900-99-00,Other
01,0103100000-00-00,Pure-bred breeding animals
01,010391**00-**-00,Domestic species
01,0103911000-10-00,Domestic species
01,0103919000-90-00,Other
01,010392**00-**-00,"Sows having farrowed at least once, of a weight of not less than 160 kg"
01,0103921*00-1*-00,"Sows having farrowed at least once, of a weight of not less than 160 kg"
01,0103921100-11-00,"Sows having farrowed at least once, of a weight of not less than 160 kg"
01,0103921900-19-00,Other
01,0103929000-90-00,Other
01,010410**00-**-00,Pure-bred breeding animals
01,0104101000-10-00,Pure-bred breeding animals
01,0104103000-30-00,Lambs (up to a year old)
01,0104108000-80-00,Other
01,010420**00-**-00,Pure-bred breeding animals
01,0104201000-10-00,Pure-bred breeding animals
01,0104209000-90-00,Other
01,010511**00-**-00,Laying stocks
01,0105111*00-1*-00,Laying stocks
01,0105111100-11-00,Laying stocks
01,0105111900-19-00,Other
01,0105119*00-9*-00,Laying stocks
01,0105119100-91-00,Laying stocks
01,0105119900-99-00,Other
01,0105120000-00-00,Turkeys
01,0105130000-00-00,Ducks
01,0105140000-00-00,Geese
01,0105150000-00-00,Guinea fowls
01,0105940000-00-00,Fowls of the species Gallus domesticus
01,010599**00-**-00,Ducks
01,0105991000-10-00,Ducks
01,0105992000-20-00,Geese
01,0105993000-30-00,Turkeys
01,0105995000-50-00,Guinea fowls
01,0106110000-00-00,Primates
01,0106120000-00-00,"Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
